subset,total_baseline_curtailment_mwh,total_optimized_curtailment_mwh,total_curtailment_avoided_mwh,curtailment_reduction_pct,baseline_overload_intervals,optimized_overload_intervals,overload_intervals_reduction_pct,baseline_avg_utilization,optimized_avg_utilization,baseline_peak_utilization,optimized_peak_utilization,additional_renewable_absorbed_mwh,total_battery_charge_mwh,total_battery_discharge_mwh,total_dr_mwh,total_dispatch_mwh
All Timestamps,7068.534724417306,100488.57268027571,-93420.0379558584,-1321.6322986028686,0,23,0.0,0.6661249996393902,0.7480554043468581,0.9877827629936403,1.068811855049448,-93420.0379558584,111201.52225116741,0.0,0.0,0.0
High-Risk Timestamps (>85% Util),2785.2155886946607,2682.8179413151247,102.39764737953554,3.676471142671076,0,23,0.0,0.9731821266255428,1.0526852322156048,0.9877827629936403,1.068811855049448,102.39764737953554,1475.0,0.0,0.0,0.0
Curtailment Event Timestamps,2785.2155886946607,2682.8179413151247,102.39764737953554,3.676471142671076,0,23,0.0,0.9731821266255428,1.0526852322156048,0.9877827629936403,1.068811855049448,102.39764737953554,1475.0,0.0,0.0,0.0
