event_id,event_type,start_time,end_time,baseline_curtailment_mwh,optimized_curtailment_mwh,curtailment_reduction_mwh,curtailment_reduction_pct,baseline_peak_utilization_pct,optimized_peak_utilization_pct,baseline_overload_intervals,optimized_overload_intervals
EV_DS_0,demand_spike,2026-01-05 18:00:00,2026-01-05 20:00:00,15.223909398557481,267.177604278202,-251.95369487964453,-1654.9868255490146,0.7852528547341319,0.8709671404484175,0,0
EV_DS_1,demand_spike,2026-01-12 17:00:00,2026-01-12 19:00:00,1.5507983258393097,28.322275711729187,-26.771477385889877,-1726.3029589228406,0.6928466158950026,0.7785609016092884,0,0
EV_CT_3,grid_curtailment,2026-01-08 11:00:00,2026-01-08 14:00:00,2076.905269848885,3048.9082808764088,-972.0030110275238,-46.800546232821034,0.9830975693351622,1.068811855049448,0,13
EV_CT_4,grid_curtailment,2026-01-25 12:00:00,2026-01-25 15:00:00,820.3504399882002,1656.78850417379,-836.4380641855898,-101.96106729675442,0.9877827629936403,1.0592113344222118,0,10
EV_AN_1,solar_inverter_failure,2026-01-15 10:00:00,2026-01-15 16:00:00,517.5614482319668,4422.227130551057,-3904.6656823190897,-754.4351874850328,0.7362946369460759,0.8220089226603616,0,0
EV_AN_2,solar_soiling,2026-01-05 00:00:00,2026-01-30 23:45:00,6751.626879719515,88831.17816165996,-82079.55128194045,-1215.700345178884,0.9877827629936403,1.068811855049448,0,23
EV_AN_3,wind_degradation,2026-01-10 00:00:00,2026-01-30 23:45:00,4049.410509740572,64564.75466352685,-60515.34415378628,-1494.4235465438953,0.9877827629936403,1.0592113344222118,0,10
